animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
Nicky,H903184,Nicky,YGAP,f,Larus argentatus,adult,806,harness,2016-06-04T00:00:00Z,51.233056,2.930977,2013-05-27T00:00:00Z,OOST_MIJN | Assumed dead.,dead,519,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,804,UvA-BiTS,16.7,804
Jurgen,H903185,Jurgen,YLAT,m,Larus argentatus,adult,1036,harness,,51.233056,2.930977,2013-05-17T00:00:00Z,OOST_MIJN,,520,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,801,UvA-BiTS,17.2,801
Anne,H903182,Anne,YKAT,f,Larus argentatus,adult,859,harness,,51.233056,2.930977,2013-05-24T00:00:00Z,OOST_MIJN,,521,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,786,UvA-BiTS,16.8,786
Wilma,H903183,Wilma,YLAH,f,Larus argentatus,adult,859,harness,,51.233056,2.930977,2013-05-27T00:00:00Z,OOST_MIJN,,522,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,783,UvA-BiTS,16.8,783
Luc,H903169,Luc,YGAA,m,Larus argentatus,adult,1072,harness,,51.233056,2.930977,2013-05-27T00:00:00Z,OOST_MIJN,,523,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,799,UvA-BiTS,17.2,799
Magda,H903604,Magda,ZVAU,f,Larus argentatus,adult,852,harness,2017-06-09T00:00:00Z,51.233056,2.930977,2014-05-23T00:00:00Z,OOST_MIJN | Tracker defect. Gull captured and tracker removed.,equipment failure,14745,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6043,UvA-BiTS,18.4,6043
Catia,H903614,Catia,ZTAK,f,Larus argentatus,adult,811,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-05-23T00:00:00Z,OOST_MIJN,,14746,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6008,UvA-BiTS,18.9,6008
Hilde,H900926,Hilde,ZTAW,f,Larus argentatus,adult,778,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-05-23T00:00:00Z,OOST_MIJN,,14747,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6005,UvA-BiTS,18.9,6005
Karen,H903612,Karen,ZVAX,f,Larus argentatus,adult,856,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-05-27T00:00:00Z,OOST_MIJN,,14748,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6003,UvA-BiTS,19,6003
Tjess,H903622,Tjess,ZUAF,m,Larus argentatus,adult,1085,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-05-30T00:00:00Z,OOST_MIJN,,14749,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6069,UvA-BiTS,18.8,6069
Leslie,H903613,Leslie,ZVAT,f,Larus argentatus,adult,821,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-05-30T00:00:00Z,OOST_MIJN,,14750,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6013,UvA-BiTS,18.9,6013
Jan,H903644,Jan,YJAR,m,Larus argentatus,adult,1014,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-06-05T00:00:00Z,OOST_KAAI,,14751,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6001,UvA-BiTS,19.7,6001
Robin,H903635,Robin,YWAZ,m,Larus argentatus,adult,960,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-06-05T00:00:00Z,OOST_KAAI,,14752,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,1601,UvA-BiTS,18.5,1601
Klaas,H903609,Klaas,YLAY,m,Larus argentatus,adult,1098,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-06-05T00:00:00Z,OOST_KAAI,,14753,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6070,UvA-BiTS,18.5,6070
Walter,H903186,Walter,YWAL,m,Larus argentatus,adult,1021,harness,2014-06-15T00:00:00Z,51.233056,2.930977,2014-06-05T00:00:00Z,OOST_MIJN | Dead.,dead,14754,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6037,UvA-BiTS,18.3,6037
Wendy,H903639,Wendy,YKAW,f,Larus argentatus,adult,0,harness,2022-08-01T00:00:00Z,51.339311,3.17913,2014-06-25T00:00:00Z,ZEEB_KLVL,,14755,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6037,UvA-BiTS,18.3,6037
Stephanie,H903611,Stephanie,ZVAG,f,Larus argentatus,adult,859,harness,2014-06-11T00:00:00Z,51.233056,2.930977,2014-05-26T00:00:00Z,OOST_MIJN | Dead.,dead,14756,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6036,UvA-BiTS,18.8,6036
Stefanie,H903607,Stefanie,ZVAW,f,Larus argentatus,adult,846,harness,2022-08-01T00:00:00Z,51.233056,2.930977,2014-06-13T00:00:00Z,OOST_MIJN,,14757,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6036,UvA-BiTS,18.8,6036
Roland,H903621,Roland,ZVAR,m,Larus argentatus,adult,1034,harness,2014-06-11T00:00:00Z,51.233056,2.930977,2014-05-30T00:00:00Z,OOST_MIJN | Dead.,dead,14758,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6002,UvA-BiTS,18.9,6002
