animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
,5500276,,KBGB,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,730,harness,2025-05-24T17:00:00Z,53.5002551,6.2594627,,2017-05-24T09:40:00Z,,,15404,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5527,UvA-BiTS,13.7,5527
,5500277,,KBGR,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,920,harness,2025-05-24T17:05:00Z,53.5002551,6.2594627,,2017-05-24T10:40:00Z,,,15405,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5525,UvA-BiTS,13.5,5525
,5500278,,KBGY,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,725,harness,2025-05-24T17:10:00Z,53.5002551,6.2594627,,2017-05-24T11:13:00Z,,,15406,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5531,UvA-BiTS,13.6,5531
,5500279,,KBRB,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,855,harness,2025-05-24T17:11:00Z,53.5002551,6.2594627,,2017-05-24T11:50:00Z,,,15407,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5532,UvA-BiTS,13.7,5532
,5500281,,KBRG,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,845,harness,2025-05-24T17:13:00Z,53.5002551,6.2594627,,2017-05-24T13:35:00Z,,,15408,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5519,UvA-BiTS,13.5,5519
,GR53097,,2S6B,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,755,harness,2025-05-24T22:44:00Z,53.5002551,6.2594627,,2017-05-24T13:54:00Z,,,15409,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5552,UvA-BiTS,13.3,5552
,5500282,,KBRY,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,695,harness,2025-05-24T22:46:00Z,53.5002551,6.2594627,,2017-05-24T14:30:00Z,,,15410,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5554,UvA-BiTS,13.4,5554
,5500283,,KBYB,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,690,harness,2025-05-24T22:48:00Z,53.5002551,6.2594627,,2017-05-24T14:55:00Z,,,15411,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5566,UvA-BiTS,13.3,5566
,5500284,,KBYG,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,810,harness,2025-05-24T22:49:00Z,53.5002551,6.2594627,,2017-05-24T15:20:00Z,,,15412,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5555,UvA-BiTS,13.4,5555
,5500286,,KYBR,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,795,harness,2025-06-01T17:34:00Z,53.5002551,6.2594627,,2017-05-31T10:30:00Z,,,15426,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5528,UvA-BiTS,13.7,5528
,5500285,,KYBG,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,815,harness,2025-06-01T17:36:00Z,53.5002551,6.2594627,,2017-05-31T09:50:00Z,,,15427,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5562,UvA-BiTS,13.2,5562
,5500288,,KYBY,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,825,harness,2025-06-01T17:39:00Z,53.5002551,6.2594627,,2017-05-31T11:35:00Z,,,15428,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5560,UvA-BiTS,13.3,5560
,5500290,,KYGR,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,695,harness,2025-06-01T17:40:00Z,53.5002551,6.2594627,,2017-05-31T10:55:00Z,,,15429,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5561,UvA-BiTS,13.4,5561
,5500289,,KYGB,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,800,harness,2025-06-01T17:42:00Z,53.5002551,6.2594627,,2017-05-31T12:25:00Z,,,15430,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5559,UvA-BiTS,13.1,5559
,5500291,,KYGY,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,675,harness,2025-06-01T17:43:00Z,53.5002551,6.2594627,,2017-05-31T13:55:00Z,,,15431,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5533,UvA-BiTS,13.8,5533
,5500292,,KYRB,f,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,625,harness,2025-06-01T17:44:00Z,53.5002551,6.2594627,,2017-05-31T14:00:00Z,,,15432,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5524,UvA-BiTS,13.6,5524
,5500293,,RK.GBG,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,840,harness,2025-06-14T11:07:00Z,53.5002551,6.2594627,,2017-06-13T11:44:00Z,,,15443,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5556,UvA-BiTS,13.3,5556
,5500294,,RK.GBR,m,Larus fuscus,LBBG_SCHIERMONNIKOOG,adult,830,harness,2018-05-31T12:00:00Z,53.5002551,6.2594627,,2017-06-13T12:20:00Z,,,15444,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5564,UvA-BiTS,13.2,5564
